slang,translationID,translationEN,contextID,contextEN,exampleID,exampleEN,sentiment
gue,saya,I,"Digunakan dalam percakapan santai, terutama di kalangan anak muda, untuk merujuk pada diri sendiri dengan nada akrab dan informal.","Used in casual conversation, especially among young people, to refer to oneself in a friendly and informal tone.",Gue mau pergi ke bioskop malam ini.,I want to go to the cinema tonight.,neutral
lu,kamu,you,Digunakan dalam percakapan santai atau informal antara teman sebaya atau orang yang akrab. Menunjukkan kedekatan dan keakraban.,Used in casual or informal conversations among peers or close acquaintances. It indicates familiarity and intimacy.,Lu mau ikut nonton film malam ini?,Do you want to join to watch a movie tonight?,positive
gokil,gila / keren banget,crazy / really cool,Digunakan untuk menyatakan kekaguman atau ketidakpercayaan atas sesuatu yang luar biasa atau tidak biasa.,Used to express admiration or disbelief about something extraordinary or unusual.,Pertunjukan tadi benar-benar gokil!,The show was really crazy!,positive
baper,bawa perasaan,overly emotional,"Digunakan untuk merujuk pada seseorang yang terlalu baper atau emosional dalam menanggapi situasi, sering kali dalam konteks hubungan atau interaksi sosial.","Used to refer to someone who is overly emotional or sensitive in response to situations, often in the context of relationships or social interactions.","Jangan baper ya, itu cuma bercanda.","Don't take it personally, it was just a joke.",negative
kepo,ingin tahu urusan orang lain,to be nosy / overly curious,"Digunakan untuk menggambarkan seseorang yang terlalu ingin tahu tentang kehidupan orang lain, sering kali dengan konotasi negatif.","Used to describe someone who is overly curious about other people's lives, often with a negative connotation.",Jangan kepo sama masalah orang lain.,Don't be nosy about other people's issues.,negative
aamiin,amin,amen,"Digunakan sebagai ungkapan persetujuan atau harapan dalam konteks doa atau permohonan, seringkali diucapkan setelah seseorang menyampaikan sesuatu yang diharapkan baik.","Used as an expression of agreement or hope in the context of prayer or supplication, often said after someone expresses a wish for good.","Semoga semua harapan kita terkabul, aamiin.","May all our hopes come true, amen.",positive
adek,adik,younger sibling,"Digunakan untuk merujuk kepada adik atau saudara yang lebih muda, sering kali dengan nuansa kasih sayang atau keakraban.","Used to refer to a younger sibling, often with a sense of affection or familiarity.","Adek, jangan lupa belajar ya!","Hey little sibling, don't forget to study!",positive
adlh,adalah,is,"Merupakan singkatan dari 'adalah', digunakan dalam percakapan informal, terutama di media sosial dan pesan teks, untuk menghemat waktu dan ruang.","It is an abbreviation of 'adalah', commonly used in informal conversations, especially in social media and text messages, to save time and space.",Dia adlh teman terbaikku.,He is my best friend.,neutral
aer,air,water,"Digunakan dalam percakapan santai, terutama di kalangan anak muda, sering kali dalam konteks informal atau humor.","Used in casual conversations, especially among young people, often in informal or humorous contexts.",Tadi siang aku minum aer dingin.,I drank cold water this afternoon.,neutral
aiskrim,es krim,ice cream,"Digunakan untuk merujuk pada makanan penutup beku yang terbuat dari susu dan gula, biasanya dinikmati sebagai camilan atau hidangan manis.","Used to refer to a frozen dessert made from milk and sugar, typically enjoyed as a snack or sweet dish.",Aku mau beli aiskrim di toko depan.,I want to buy ice cream at the store in front.,positive
